track_name,artist_name,playlists
...And to Those I Love Thanks for Sticking Around,$uicideboy$,
Beanie - Slowed,10X,
4 AM,"2 Chainz,Travis Scott",
a lot,21 Savage,
letter to my brudda,21 Savage,
Bank Account,21 Savage,
all of me,21 Savage,
ball w/o you,21 Savage,
sneaky,21 Savage,
see the real,21 Savage,
redrum,21 Savage,
should've wore a bonnet,"21 Savage,Brent Faiyaz",
just like me,"21 Savage,Burna Boy,Metro Boomin",
dangerous,"21 Savage,Lil Durk,Metro Boomin",
dark days,"21 Savage,Mariah the Scientist",
Runnin,"21 Savage,Metro Boomin",
X (feat. Future),"21 Savage,Metro Boomin,Future",
Rap Saved Me (feat. Quavo),"21 Savage,Offset,Metro Boomin,Quavo",
prove it,"21 Savage,Summer Walker",
red sky,"21 Savage,Tommy Newport,Mikky Ekko",
nee-nah,"21 Savage,Travis Scott,Metro Boomin",
pop ur shit,"21 Savage,Young Thug,Metro Boomin",
CITY OF ANGELS,24kGoldn,
3 2 1,24kGoldn,
DROPPED OUTTA COLLEGE,24kGoldn,
VALENTINO,24kGoldn,
Mood (feat. iann dior),"24kGoldn,iann dior",
Keep Ya Head Up,2Pac,
Changes,"2Pac,Talent",
act ii: date @ 8,4batz,
Placas,5-30,
Many Men (Wish Death),50 Cent,
Part Of The Game (feat. NLE Choppa & Rileyy Lanez),"50 Cent,NLE Choppa,Rileyy Lanez",
21 Questions,"50 Cent,Nate Dogg",
kem diria ...,5laughter,
BILLY,6ix9ine,
GOTTI,6ix9ine,
93,6ix9ine,
STOOPID,"6ix9ine,Bobby Shmurda",
ENDZ,88GLAM,
Filho da Guida,9 Miller,
Limonada,9 Miller,
Wappa / Frozen,"9 Miller,Mizzy Miles",
Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie,Kodak Black",
The God Hour,"A$AP ANT,A$AP Rocky",
Dreams Fairytales Fantasies (feat. Brent Faiyaz & Salaam Remi),"A$AP Ferg,Brent Faiyaz,Salaam Remi",
Dennis Rodman (feat. Tyga),"A$AP Ferg,Tyga",
Tony Tone,A$AP Rocky,
Tailor Swif,A$AP Rocky,
Sundress,A$AP Rocky,
Shittin' Me,A$AP Rocky,
Rich Nigga Problems,A$AP Rocky,
LVL,A$AP Rocky,
L$D,A$AP Rocky,
Long Live A$AP,A$AP Rocky,
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,
Babushka Boi,A$AP Rocky,
Goldie,A$AP Rocky,
Excuse Me,A$AP Rocky,
Canal St. (feat. Bones),"A$AP Rocky,BONES",
F**kin' Problems (feat. Drake 2 Chainz & Kendrick Lamar),"A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",
Fukk Sleep (feat. FKA twigs),"A$AP Rocky,FKA twigs",
Brotha Man (feat. French Montana),"A$AP Rocky,French Montana",
Cocky (feat. London On Da Track),"A$AP Rocky,Gucci Mane,21 Savage,London On Da Track",
West Side Highway,"A$AP Rocky,James Fauntleroy",
Jukebox Joints (feat. Joe Fox & Kanye West),"A$AP Rocky,Joe Fox,Kanye West",
Multiply (feat. Juicy J),"A$AP Rocky,Juicy J",
Gunz N Butter (feat. Juicy J),"A$AP Rocky,Juicy J",
Wavybone (feat. Juicy J & UGK),"A$AP Rocky,Juicy J,UGK",
1Train (feat. Kendrick Lamar Joey Bada$$ Yelawolf Danny Brown Action Bronson & Big K.R.I.T.),"A$AP Rocky,Kendrick Lamar,Joey Bada$$,Yelawolf,Danny Brown,Action Bronson,Big K.R.I.T.",
Arya (feat. A$AP Rocky),"A$AP Rocky,Nigo",
Pain (feat. OverDoz.),"A$AP Rocky,OverDoz.",
Everyday (feat. Rod Stewart Miguel & Mark Ronson),"A$AP Rocky,Rod Stewart,Miguel,Mark Ronson",
Hell (feat. Santigold),"A$AP Rocky,Santigold",
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky,Skepta",
FTW (F**k The World) [with A$AP Rocky & Tom Morello],"A$AP Rocky,Tom Morello",
Baco,"ABCC,Mixla",
Funky Town,ACRAZE,
Sons de Amor,"ANDREZO,Gson",
Relax My Eyes,"ANOTR,Abel Balder",
How You Feel (ft Leven Kali),"ANOTR,Leven Kali,Erik Bandt",
Sail,AWOLNATION,
Ride,Aaron May,
WOKEUPTHINKINBOUT,Aaron May,
I'm Good Luv Enjoy.,Aaron May,
HIDDEN VOICES,Aaron May,
In Love,Aaron May,
Let Go,Aaron May,
Na Minha,Achero,
100 Montaditos,"Adler Jack,Vert Gum",
Rain,"Aitch,AJ Tracey,Tay Keith",
Lonely,Akon,
On My Mind - Enzo is Burning Remix,"Alan Fitzpatrick,Ronnie Spiteri,Enzo is Burning",
Tropicana (Morena Tropicana),Alceu Valenca,
Enquanto Eu Penso,Alcool Club,
Ultimo a Sair,Alcool Club,
Atlantis,Alcool Club,
Do Vinho,Alcool Club,
Nada Contra,Alcool Club,
Quando a Minha voz,Alcool Club,
Respeito,Alcool Club,
Drunk Peel Me,Alcool Club,
Marado,Alcool Club,
Fugimos a Realidade,"Alcool Club,Beware Jack",
Espuma,"Alcool Club,Beware Jack,Sara D. Francisco",
Mudar,"Alcool Club,Domi,Sara D. Francisco",
A Vida Que Tens,"Alcool Club,Keni",
Virus,"Alcool Club,Keni",
Lei da Atraccao,"Alcool Club,N.O.B.,Lucy",
