Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love Thanks for Sticking Around","Stop Staring At the Shadows","$uicideboy$",2020-02-14,168489,80,true,m1gr4,2024-12-23T10:56:04Z,"emo rap,horrorcore,cloud rap,trap metal,hip-hop underground","G59 Records",0.792,0.511,2,-6.876,1,0.0409,0.124,0.0000904,0.14,0.111,113.983,4
spotify:track:1icgLGTpX2fQXKRe4D7w2b,"BACK TO ME","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,295471,5,true,m1gr4,2024-12-23T10:56:04Z,"rap,trap soul","Ye",0.809,0.788,1,-7.217,1,0.0889,0.00108,0,0.0625,0.344,95.637,4
spotify:track:2y4ZR0BUAVePljHSsZyIgj,"PAID","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,195117,2,true,m1gr4,2024-12-23T10:56:04Z,"rap,trap soul","Ye",0.789,0.688,10,-6.996,0,0.223,0.108,0,0.295,0.445,120.162,4
spotify:track:5MGMXOhVvwzCjFgdQsFokR,"SLIDE","VULTURES 2","¥$,Kanye West,Ty Dolla $ign",2024-08-03,197777,62,true,m1gr4,2024-12-23T10:56:04Z,"rap,trap soul","YZY",0.749,0.802,10,-5.78,0,0.0858,0.0258,0,0.118,0.443,107.996,4
spotify:track:1LaTWJ35Atk7Esoqxdb1WG,"STARS","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,115238,25,true,m1gr4,2024-12-23T10:56:04Z,"rap,trap soul","Ye",0.586,0.572,0,-8.27,0,0.0437,0.271,0.104,0.118,0.29,125.955,4
spotify:track:1eaqMiiUn2P7MnqJK4XeK0,"TALKING","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,185110,2,true,m1gr4,2024-12-23T10:56:04Z,"rap,trap soul","Ye",0.463,0.453,9,-9.572,1,0.16,0.407,0.00000178,0.207,0.334,148.741,4
spotify:track:1FKHd53eZGxettMrJeAI3d,"Beanie - Slowed","47 (Sped Up and Slowed)","10X",2024-02-27,148344,58,false,m1gr4,2024-12-23T10:56:04Z,"","10X",0.578,0.555,0,-6.661,0,0.0258,0.314,0.305,0.368,0.133,123.858,3
spotify:track:2FoahzOSxJnalPA8aBUme3,"all of me","american dream","21 Savage",2024-01-12,198292,73,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.652,0.806,5,-5.707,0,0.302,0.122,0.0000108,0.842,0.779,159.947,4
spotify:track:50a8bKqlwDEqeiEknrzkTO,"ball w/o you","i am > i was","21 Savage",2018-12-21,195046,80,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,4
spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Bank Account","Issa Album","21 Savage",2017-09-23,220306,13,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.884,0.347,8,-8.227,0,0.35,0.015,0.000007,0.0871,0.376,75.016,4
spotify:track:0fyP96TikhD9sM4eKqw5Yp,"dangerous","american dream","21 Savage,Lil Durk,Metro Boomin",2024-01-12,265305,66,true,m1gr4,2024-12-23T10:56:04Z,"drill de Chicago,drill","Slaughter Gang, LLC/Epic Records",0.753,0.837,5,-4.673,0,0.278,0.0657,0,0.151,0.589,151.949,4
spotify:track:02Cp3VTUWNed8hr69BhKz6,"dark days","american dream","21 Savage,Mariah the Scientist",2024-01-12,295072,65,true,m1gr4,2024-12-23T10:56:04Z,"r&b alternativo","Slaughter Gang, LLC/Epic Records",0.68,0.583,2,-5.351,0,0.174,0.229,0.0000137,0.139,0.134,82.477,4
spotify:track:5KI7I4mEtulXcv5VQJaV35,"just like me","american dream","21 Savage,Burna Boy,Metro Boomin",2024-01-12,231338,63,true,m1gr4,2024-12-23T10:56:04Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","Slaughter Gang, LLC/Epic Records",0.701,0.653,1,-4.695,1,0.105,0.479,0.0000282,0.306,0.505,82.984,4
spotify:track:5P1z8XwsCStb74emERTx9v,"letter to my brudda","american dream","21 Savage",2024-01-12,159133,59,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.45,0.87,7,-4.224,0,0.309,0.222,0.00000285,0.291,0.588,156.727,4
spotify:track:2t8yVaLvJ0RenpXUIAC52d,"a lot","i am > i was","21 Savage",2018-12-21,288624,82,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,"née-nah","american dream","21 Savage,Travis Scott,Metro Boomin",2024-01-12,220584,75,true,m1gr4,2024-12-23T10:56:04Z,"rap","Slaughter Gang, LLC/Epic Records",0.681,0.758,1,-6.524,1,0.188,0.00465,0,0.555,0.331,165.409,4
spotify:track:47yD0e9MCRIB8dgUXPfyW3,"pop ur shit","american dream","21 Savage,Young Thug,Metro Boomin",2024-01-12,193320,63,true,m1gr4,2024-12-23T10:56:04Z,"rap,rap melódico,trap","Slaughter Gang, LLC/Epic Records",0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066,4
spotify:track:5wttBUDyaHAR5q9fYnN3YF,"prove it","american dream","21 Savage,Summer Walker",2024-01-12,207585,78,true,m1gr4,2024-12-23T10:56:04Z,"r&b","Slaughter Gang, LLC/Epic Records",0.565,0.743,6,-5.425,0,0.172,0.377,0,0.23,0.266,133.924,4
spotify:track:0tdCy39PgWN8LFWu34ORn3,"Rap Saved Me (feat. Quavo)","Without Warning","21 Savage,Offset,Metro Boomin,Quavo",2017-10-30,257600,68,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",0.845,0.399,1,-7.509,1,0.312,0.00525,0.741,0.102,0.148,143.049,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,83,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:4yLyVdEqV790aIXyGif85v,"red sky","american dream","21 Savage,Tommy Newport,Mikky Ekko",2024-01-12,176835,65,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.474,0.621,7,-8.253,0,0.103,0.187,0,0.16,0.396,114.314,4
spotify:track:5SWnsxjhdcEDc7LJjq9UHk,"Runnin","SAVAGE MODE II","21 Savage,Metro Boomin",2020-10-02,195906,81,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,4
spotify:track:4E64eAph6AYI98ucunrGH8,"see the real","american dream","21 Savage",2024-01-12,182039,60,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.875,0.645,7,-6.017,0,0.163,0.381,0.00537,0.11,0.317,96.974,4
spotify:track:4Xzq2WibDHR5Eufi21HlEZ,"should've wore a bonnet","american dream","21 Savage,Brent Faiyaz",2024-01-12,186770,66,true,m1gr4,2024-12-23T10:56:04Z,"r&b","Slaughter Gang, LLC/Epic Records",0.607,0.762,7,-5.305,1,0.0676,0.0441,0,0.348,0.428,144.961,4
spotify:track:2K7sv1mno9PvbXVBpqvSKn,"sneaky","american dream","21 Savage",2024-01-12,201672,69,true,m1gr4,2024-12-23T10:56:04Z,"","Slaughter Gang, LLC/Epic Records",0.742,0.685,9,-7.526,1,0.149,0.000383,0.00428,0.147,0.306,155.037,4
spotify:track:6fwdbPMwP1zVStm8FybmkO,"X (feat. Future)","Savage Mode","21 Savage,Metro Boomin,Future",2016-07-15,258880,72,true,m1gr4,2024-12-23T10:56:04Z,"rap","Slaughter Gang, LLC",0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,4
spotify:track:1bFoCHXsP2qd4YWi2JmlCN,"3 2 1","3 2 1","24kGoldn",2021-02-19,131596,0,true,m1gr4,2024-12-23T10:56:04Z,"","Records/Columbia",0.692,0.7,0,-2.09,1,0.148,0.242,0,0.15,0.704,165.024,4
spotify:track:6ap9lSRJ0iLriGLqoJ44cq,"CITY OF ANGELS","DROPPED OUTTA COLLEGE","24kGoldn",2019-11-22,112493,69,false,m1gr4,2024-12-23T10:56:04Z,"","Records/Columbia",0.686,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,4
spotify:track:5j8fi3IRcWH1B0RyPIPKl1,"DROPPED OUTTA COLLEGE","DROPPED OUTTA COLLEGE","24kGoldn",2019-11-22,127613,30,true,m1gr4,2024-12-23T10:56:04Z,"","Records/Columbia",0.911,0.379,0,-7.823,1,0.412,0.0107,0.00000169,0.15,0.191,120.044,4
