Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56AMYGJzxBO6p8v0wEe9de,"Hot (Remix) [feat. Gunna and Travis Scott]","Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug,Travis Scott,Gunna",2019-11-01,279906,61,true,,2020-11-27T10:32:10Z,"rap,rap melódico,trap","300 Entertainment/Atl",0.845,0.631,7,-8.206,0,0.216,0.188,0,0.0806,0.545,111.983,4
spotify:track:7MPQNyAX02uIEQCRsC4sgc,"Banco","Banco","Matuê,Predella",2019-01-16,254734,63,true,,2020-11-27T10:32:10Z,"trap brasileiro,trap,hip-hop brasileiro,trap funk","30PRAUM",0.662,0.715,1,-6.593,1,0.153,0.123,0.00000141,0.0916,0.28,165.879,4
spotify:track:2gwkD6igEhQbDQegRCcdoB,"Suge","Baby On Baby","DaBaby",2019-03-01,163320,71,true,,2020-11-27T10:32:10Z,"","South Coast Music Group/Interscope Records",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Yes Indeed","Harder Than Ever","Lil Baby,Drake",2018-05-18,142273,80,true,,2020-11-27T10:32:10Z,"rap","Quality Control Music, LLC",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,4
spotify:track:6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,87,true,,2020-11-27T10:32:10Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
spotify:track:7eBqSVxrzQZtK2mmgRG6lC,"Murder on My Mind","I AM YOU","YNW Melly",2018-08-03,268434,81,true,,2020-11-27T10:32:10Z,"rap melódico","P2018",0.759,0.73,0,-7.985,0,0.0516,0.145,0.00000306,0.11,0.74,115.007,4
spotify:track:0fYwyXXlplEnl6q924iJXI,"Drunk Peel Me","Artesanacto","Alcool Club",2010-01-01,242233,0,false,,2020-11-27T10:32:10Z,"hip-hop português","Alcool Club",0.808,0.326,9,-11.355,0,0.412,0.275,0,0.118,0.51,88.89,4
spotify:track:5bvnqVuq7UFl0txSlHpsfS,"LOYAL (feat. Drake)","LOYAL (feat. Drake)","PARTYNEXTDOOR,Drake",2019-11-22,197973,1,false,,2020-11-27T10:32:10Z,"dark r&b,r&b,trap soul,rap","OVO Sound/Warner Records",0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,4
spotify:track:51Fjme0JiitpyXKuyQiCDo,"Lalala","Lalala","Y2K,bbno$",2019-06-28,160626,75,true,,2020-11-27T10:32:10Z,"","Columbia",0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
spotify:track:2t8yVaLvJ0RenpXUIAC52d,"a lot","i am > i was","21 Savage",2018-12-21,288624,82,true,,2020-11-27T10:32:10Z,"","Slaughter Gang, LLC/Epic Records",0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
spotify:track:0SRTbpd3Xw2u0ugdA5UaBt,"Virus","Rap Proibido","Alcool Club,Keni",2016-04-12,253080,0,false,,2020-11-27T10:32:10Z,"hip-hop português","Alcool Club",0.714,0.537,1,-8.1,1,0.24,0.038,0.00000331,0.0453,0.281,87.978,4
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,"Life Is Good (feat. Drake)","Life Is Good (feat. Drake)","Future,Drake",2020-01-10,237735,75,true,,2020-11-27T10:32:10Z,"rap","Epic/Freebandz",0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,4
spotify:track:1fewSx2d5KIZ04wsooEBOz,"Space Cadet (feat. Gunna)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Gunna",2018-11-06,203266,80,true,,2020-11-27T10:32:10Z,"rap melódico","Republic Records",0.901,0.464,5,-9.789,0,0.0645,0.368,0.0000182,0.238,0.638,109.004,4
spotify:track:3QzAOrNlsabgbMwlZt7TAY,"Ballin' (with Roddy Ricch)","Perfect Ten","Mustard,Roddy Ricch",2019-06-28,180434,78,true,,2020-11-27T10:32:10Z,"rap melódico","10 Summers Records/Interscope Records",0.809,0.545,7,-6.678,1,0.0734,0.392,0,0.151,0.244,97.008,4
spotify:track:577YBGuskWkVDCxZrLRB4v,"Pure Cocaine","Street Gossip","Lil Baby",2018-11-30,154023,82,true,,2020-11-27T10:32:10Z,"","Quality Control Music/Motown Records/Capitol Records",0.964,0.487,10,-6.071,0,0.421,0.00127,0.00000607,0.115,0.108,127.05,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,86,true,,2020-11-27T10:32:10Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Ric Flair Drip (with Metro Boomin)","Without Warning","Offset,Metro Boomin",2017-10-30,172800,82,true,,2020-11-27T10:32:10Z,"","Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",0.88,0.428,9,-8.28,1,0.206,0.149,0.0000505,0.114,0.333,100.007,4
spotify:track:22nyEAEM29tcBRhukR089b,"Icon","SYRE","Jaden",2017-11-17,220995,67,true,,2020-11-27T10:32:10Z,"","MSFTS/Roc Nation",0.786,0.82,9,-5.093,0,0.232,0.222,0,0.575,0.49,119.982,4
spotify:track:3j84U36KvLeXNDPv4t5pI8,"Pure Water (with Migos)","Perfect Ten","Mustard,Migos",2019-06-28,192470,76,true,,2020-11-27T10:32:10Z,"trap","10 Summers Records/Interscope Records",0.68,0.559,0,-5.545,1,0.127,0.177,0,0.344,0.135,202.018,4
spotify:track:6HZILIRieu8S0iqY8kIKhj,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,83,true,,2020-11-27T10:32:10Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
spotify:track:37M00uZSz6smSxZ7pHchuh,"Impec","Deepak Looper","Papillon",2018-03-21,193492,56,false,,2020-11-27T10:32:10Z,"hip-hop português","Sente Isto",0.799,0.232,4,-15.807,1,0.0486,0.436,0,0.105,0.692,105.099,4
spotify:track:6phY2gnvf9WwCiXlLMQOY3,"HeMotions","Death Race For Love","Juice WRLD",2019-03-08,187211,1,true,,2020-11-27T10:32:10Z,"rap melódico,emo rap","Grade A Productions/Interscope Records",0.561,0.76,2,-7.194,1,0.264,0.667,0,0.106,0.317,163.938,4
spotify:track:7MAOLAitzWQ9bqgJ8y2tPn,"Body","Body","GROGNation,Sam The Kid",2020-04-17,292610,0,false,,2020-11-27T10:32:10Z,"hip-hop português","Faded Records",0.79,0.705,9,-6.624,0,0.257,0.33,0,0.132,0.522,101.558,4
spotify:track:00KjOnN3U40e3lXFUOue7h,"10AM/Save The World (feat. Gucci Mane)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Gucci Mane",2018-11-06,226320,56,true,,2020-11-27T10:32:10Z,"hip-hop do sul,rap,trap","Republic Records",0.719,0.502,8,-8.835,0,0.234,0.257,0,0.189,0.432,136.025,4
spotify:track:3EPeQrChkLAwm4KVe7sHwT,"Dear God","Dear God","Dax",2019-10-11,203113,0,true,,2020-11-27T10:32:10Z,"","BMG Rights Management (US) LLC",0.713,0.642,1,-10.023,1,0.301,0.383,0,0.138,0.474,117.162,4
spotify:track:2u3EyuCqqV31woqGvO9LBz,"Sum 2 Prove","Sum 2 Prove","Lil Baby",2020-01-10,205760,68,true,,2020-11-27T10:32:10Z,"","Quality Control/Motown Records",0.822,0.552,4,-7.57,0,0.327,0.0174,0,0.122,0.416,124.049,4
spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,"Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD,YoungBoy Never Broke Again",2019-10-04,189322,70,true,,2020-11-27T10:32:10Z,"rap melódico,emo rap","Grade A Productions/Interscope Records",0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,4
spotify:track:0c7K73roy6RW4ebDkf4yGh,"VALENTINO","VALENTINO","24kGoldn",2019-01-25,179133,52,true,,2020-11-27T10:32:10Z,"","Records/Columbia",0.744,0.718,9,-4.853,0,0.181,0.197,0,0.134,0.549,151.098,4
spotify:track:74lnM5V6ecvoTPV0fvptx9,"Nuketown (feat. Juice WRLD)","STOKELEY","Ski Mask The Slump God,Juice WRLD",2018-11-30,166400,73,true,,2020-11-27T10:32:10Z,"rap melódico,emo rap","Republic Records",0.808,0.617,10,-9.32,0,0.442,0.111,0,0.734,0.632,149.96,4
spotify:track:0KhF24HPKvKIt2LGdfuiRh,"Supreme","Supreme","Xavier Scott",2019-11-06,153652,1,true,,2020-11-27T10:32:10Z,"","1077840 Records DK",0.852,0.415,8,-9.711,0,0.208,0.414,0,0.106,0.38,124.986,4
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,85,true,,2020-11-27T10:32:10Z,"rap melódico","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
spotify:track:735RSTb2xbtWbDtKD9XDYi,"Somebody","Somebody","Internet Money,Lil Tecca,A Boogie Wit da Hoodie",2019-10-11,174333,1,true,,2020-11-27T10:32:10Z,"rap melódico,rap","Internet Money Records / TenThousand Projects, LLC",0.63,0.671,6,-6.659,0,0.257,0.363,0,0.113,0.334,89.921,4
spotify:track:4rgwri7LajWVZvdj2N81SS,"Catch Me Outside","You Will Regret (Reloaded)","Ski Mask The Slump God",2018-02-02,145760,66,true,,2020-11-27T10:32:10Z,"","Victor VM",0.943,0.677,7,-6.033,1,0.246,0.165,0,0.327,0.616,112.001,4
spotify:track:3bPK33sZdStzPI81xHOoc6,"She Cheated Again","She Cheated Again","Dax",2018-11-01,166869,0,true,,2020-11-27T10:32:10Z,"","Daniel Dax Entertainment",0.651,0.569,10,-10.156,1,0.324,0.15,0,0.0928,0.36,96.795,4
spotify:track:7tVTYf17rcDEGrr6qHZNqc,"DROPPED OUTTA COLLEGE","DROPPED OUTTA COLLEGE","24kGoldn",2019-11-20,127613,30,true,,2020-11-27T10:32:10Z,"","Records/Columbia",0.911,0.379,0,-7.823,1,0.412,0.0107,0.00000169,0.15,0.191,120.044,4
spotify:track:6uJONCdr2rC65BNmCnTBWK,"GANG GANG","JACKBOYS","JACKBOYS,Sheck Wes",2019-12-27,244760,70,true,,2020-11-27T10:32:10Z,"","Cactus Jack/Epic",0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,4
spotify:track:2fQrGHiQOvpL9UgPvtYy6G,"Bank Account","Issa Album","21 Savage",2017-09-23,220306,13,true,,2020-11-27T10:32:10Z,"","Slaughter Gang, LLC/Epic Records",0.884,0.347,8,-8.227,0,0.35,0.015,0.000007,0.0871,0.376,75.016,4
spotify:track:0gzwa0yJncSs29DjXajA5i,"Tou Bem (feat. Lhast)","#FFFFFF","ProfJam,Lhast",2019-02-22,191679,50,false,,2020-11-27T10:32:10Z,"hip-hop português","ProfJam",0.637,0.366,4,-12.863,0,0.425,0.411,0,0.0991,0.332,131.138,4
spotify:track:7D4kUD7DuOHJLnxsfPaOD1,"Como é que Tamos?!","Como é que Tamos?!","Mota JR,King Bigs",2019-08-29,194504,43,true,,2020-11-27T10:32:10Z,"hip-hop português","Baixada Records",0.547,0.58,8,-7.55,1,0.378,0.15,0.00000171,0.116,0.487,142.373,4
spotify:track:5C6XEbFCerxpcfhtJC13Wz,"Some (feat. Gson)","Some (feat. Gson)","Holly Hood,Gson",2020-02-13,208626,0,false,,2020-11-27T10:32:10Z,"hip-hop português","Holly Hood",0.662,0.535,4,-9.243,1,0.254,0.31,0.0123,0.277,0.0655,130.083,4
spotify:track:3eekarcy7kvN4yt5ZFzltW,"HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",2019-10-04,175720,86,true,,2020-11-27T10:32:10Z,"rap","Cactus Jack/Epic",0.598,0.427,7,-8.764,0,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
spotify:track:5wujBwqG7INdStqGd4tRMX,"Armed And Dangerous","Goodbye & Good Riddance","Juice WRLD",2018-12-10,169999,79,true,,2020-11-27T10:32:10Z,"rap melódico,emo rap","Juice WRLD Mixtape / ISR P&D",0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,"BOP","KIRK","DaBaby",2019-09-27,159714,78,true,,2020-11-27T10:32:10Z,"","South Coast Music Group/Interscope Records",0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,4
spotify:track:1ThmUihH9dF8EV08ku5AXN,"Faucet Failure","STOKELEY","Ski Mask The Slump God",2018-11-30,145626,72,true,,2020-11-27T10:32:10Z,"","Republic Records",0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.616,99.993,4
spotify:track:5qHirGR7M9tdm6C17DlzSY,"REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,69,true,,2020-11-27T10:32:10Z,"","Republic Records",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
spotify:track:4mUIe9gfsdtsVP2zFIl74x,"Maze","Death Race For Love","Juice WRLD",2019-03-08,144090,1,true,,2020-11-27T10:32:10Z,"rap melódico,emo rap","Grade A Productions/Interscope Records",0.674,0.726,11,-3.813,0,0.141,0.126,0.00000156,0.115,0.443,160.067,4
spotify:track:4a0H1kKez7UVLveRL5cEgy,"Vencedor","M.a.D.H.P.","Phoenix Rdc",2019-01-24,260800,0,false,,2020-11-27T10:32:10Z,"hip-hop português","PHOENIX RDC",0.496,0.681,0,-5.829,0,0.375,0.849,0,0.206,0.491,87.277,5
spotify:track:1TNiTrOrCgSvJN46XISIDj,"jND (feat. 9 Miller)","jND (feat. 9 Miller)","Lhast,9 Miller",2019-07-03,209242,6,false,,2020-11-27T10:32:10Z,"hip-hop português","Lhast",0.85,0.601,9,-9.329,0,0.649,0.145,0,0.106,0.117,151.109,4
spotify:track:1e1JKLEDKP7hEQzJfNAgPl,"Magnolia","Playboi Carti","Playboi Carti",2017-04-14,181812,81,true,,2020-11-27T10:32:10Z,"rage rap","AWGE Label",0.791,0.582,11,-7.323,0,0.286,0.0114,0,0.35,0.443,162.991,4
