Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6n80Ww22fz6nuqWTIEckUU,"Poetas de karaoke","Pratica(mente) [Re-edição]","Sam The Kid",2008-05-05,372297,30,false,,2019-12-12T19:26:06Z,"hip-hop português","Sam The Kid",0.724,0.727,8,-6.766,1,0.59,0.358,0,0.677,0.715,93.908,4
spotify:track:4u7EnebtmKWzUH433cf5Qv,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,354320,84,false,,2019-12-12T19:26:06Z,"rock clássico,rock,glam rock","EMI",0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
spotify:track:05t7JMip6JrLuSrMV5yYjX,"Envy Me","Envy Me","Calboy",2018-12-13,120136,52,true,,2019-12-12T19:26:06Z,"rap melódico","Polo Grounds Music/RCA Records",0.556,0.481,11,-7.663,1,0.313,0.282,0,0.216,0.581,149.025,4
spotify:track:1K4OfBFaLleSUaUVjp1l2X,"Tunnel of Love","Tunnel of Love","ilyTOMMY,Savage Ga$p",2019-02-16,142364,0,true,,2019-12-12T19:26:06Z,"trap metal","haroinfather",0.683,0.636,7,-12.096,0,0.0978,0.302,0.498,0.0972,0.615,160.012,4
spotify:track:4VXIryQMWpIdGgYR4TrjT1,"All Girls Are The Same","Goodbye & Good Riddance","Juice WRLD",2018-12-10,165819,85,true,,2019-12-12T19:26:06Z,"rap melódico,emo rap","Juice WRLD Mixtape / ISR P&D",0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4
spotify:track:5wujBwqG7INdStqGd4tRMX,"Armed And Dangerous","Goodbye & Good Riddance","Juice WRLD",2018-12-10,169999,79,true,,2019-12-12T19:26:06Z,"rap melódico,emo rap","Juice WRLD Mixtape / ISR P&D",0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
spotify:track:285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,86,true,,2019-12-12T19:26:06Z,"rap melódico,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
spotify:track:7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,83,true,,2019-12-12T19:26:06Z,"rap melódico","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,125093,83,false,,2019-12-12T19:26:06Z,"soul,soul clássica,motown","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
spotify:track:5KhFaq45chTw8RGfWo8T8J,"BILLY","Day69: Graduation Day","6ix9ine",2018-04-10,112666,3,true,,2019-12-12T19:26:06Z,"","ScumGang Records / TenThousand Projects",0.764,0.711,4,-3.818,0,0.288,0.175,0,0.105,0.774,90.076,4
spotify:track:27oFpFktCq9JIXjJQRuv7a,"GOTTI","Day69: Graduation Day","6ix9ine",2018-04-10,166851,1,true,,2019-12-12T19:26:06Z,"","ScumGang Records / TenThousand Projects",0.728,0.584,10,-7.255,0,0.176,0.0524,0,0.0658,0.365,161.9,4
spotify:track:2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,86,true,,2019-12-12T19:26:06Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
spotify:track:18gNzobZV5YD8BhL8o3BTi,"Cheryl","Cheryl","Yung Gravy",2017-06-21,169019,54,true,,2019-12-12T19:26:06Z,"","Yung Gravy",0.801,0.698,0,-8.998,0,0.33,0.0477,0.00000146,0.184,0.502,76.5,4
spotify:track:0PdCHtiX5w5P4W8NvLrUx2,"Meu Deus","Meu Deus","Plutonio",2019-03-01,222178,41,false,,2019-12-12T19:26:06Z,"hip-hop português","Bridgetown Records",0.731,0.593,1,-9.923,0,0.06,0.236,0.00000113,0.0886,0.165,114.988,4
spotify:track:0y60itmpH0aPKsFiGxmtnh,"Wait a Minute!","ARDIPITHECUS","WILLOW",2015-01-11,196520,81,false,,2019-12-12T19:26:06Z,"","Roc Nation W Smith P&D",0.764,0.705,3,-5.279,0,0.0278,0.0371,0.0000194,0.0943,0.672,101.003,4
spotify:track:2iO0lEdYJHf5hzEAdAvrJU,"Колибри","KDKin","kavabanga Depo kolibri,MiyaGi",2015-03-16,272352,60,true,,2019-12-12T19:26:06Z,"","kavabanga Depo kolibri",0.573,0.518,2,-6.027,0,0.285,0.836,0,0.111,0.776,155.822,4
spotify:track:5GxnROd93Y7NGt2ci0TwBw,"Mr. Clean","Snow Cougar","Yung Gravy",2018-05-04,211149,67,true,,2019-12-12T19:26:06Z,"","Universal Records",0.759,0.702,9,-6.053,1,0.164,0.68,0.00000657,0.114,0.63,106.739,4
spotify:track:0B7cLiUsuRU8VXlgx715wb,"Reflexo","Reflexo","Dillaz",2016-05-26,311053,38,false,,2019-12-12T19:26:06Z,"hip-hop português,punta","Seventy Five",0.886,0.489,0,-10.939,0,0.272,0.323,0,0.128,0.524,125.004,4
spotify:track:0b9oOr2ZgvyQu88wzixux9,"This Is America","This Is America","Childish Gambino",2018-05-06,225773,71,true,,2019-12-12T19:26:06Z,"","Wolf+Rothstein/RCA Records",0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,4
spotify:track:2hLhiONy3FcndFJc2CiC2e,"Squidwards Nose (feat. Kg Prince)","Squidwards Nose (feat. Kg Prince)","Joey Trap,Kg Smokey,Kg Prince",2017-12-24,119248,0,true,,2019-12-12T19:26:06Z,"hip-hop da Costa Oeste,big room","Kloud Gang Entertainment",0.634,0.88,1,-1.714,1,0.293,0.169,0,0.474,0.548,150.959,4
spotify:track:7LptQZjp5wgdYDQZPjOV9O,"1 Thot 2 Thot Red Thot Blue Thot","Snow Cougar","Yung Gravy",2018-05-04,131139,57,true,,2019-12-12T19:26:06Z,"","Universal Records",0.79,0.768,6,-5.637,1,0.284,0.148,0.000933,0.126,0.691,80.029,4
spotify:track:3W2ZcrRsInZbjWylOi6KhZ,"You & Me - Flume Remix","Settle (Special Edition)","Disclosure,Eliza Doolittle,Flume",2013-06-03,282812,76,false,,2019-12-12T19:26:06Z,"house,bass futurista","Universal-Island Records Ltd.",0.599,0.392,10,-6.869,0,0.0257,0.378,0.000107,0.131,0.26,75.066,4
spotify:track:44IeABaLLsnFVb7rjzNTzS,"The Story","The Story & Cover Stories","Brandi Carlile",2007,238493,0,false,,2019-12-12T19:26:06Z,"folk,americana","Legacy Recordings",0.544,0.5,11,-8.253,1,0.026,0.0325,0.00000378,0.109,0.177,93.621,4
spotify:track:4LaCk8mWMThcp3yg2Lej0z,"Lesley","Lesley","Joey Trap",2019-02-15,130000,37,true,,2019-12-12T19:26:06Z,"","Asylum Worldwide LLC",0.935,0.458,6,-8.128,0,0.236,0.659,0,0.069,0.8,124.933,4
spotify:track:6gxycjJNMgmAyfzUXBN80P,"Goodbye My Lover","Back to Bedlam","James Blunt",2005-08-08,258653,73,false,,2019-12-12T19:26:06Z,"","Custard/Atlantic",0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,4
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,"Pumped Up Kicks","Torches","Foster The People",2011-05-23,239600,88,false,,2019-12-12T19:26:06Z,"","Columbia",0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,"Falling Down - Bonus Track","Come Over When You're Sober Pt. 2","Lil Peep,XXXTENTACION",2018-11-09,196400,86,true,,2019-12-12T19:26:06Z,"emo rap,cloud rap","Columbia",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4
spotify:track:5CEqIyfuiSa1MTTUh8kr7f,"Tables","Stackin P's","Joey Trap",2018-03-12,156874,45,true,,2019-12-12T19:26:06Z,"","Kloud Gang Entertainment",0.95,0.526,9,-7.796,1,0.167,0.0137,0,0.0988,0.241,100.044,4
spotify:track:4f8Mh5wuWHOsfXtzjrJB3t,"I THINK","IGOR","Tyler The Creator",2019-05-17,212013,77,true,,2019-12-12T19:26:06Z,"","Columbia",0.826,0.579,8,-8.241,0,0.0801,0.00881,0,0.129,0.431,121.075,4
spotify:track:1g8dD7aPj7sLCg4gHZmg2O,"Trem-Bala","Trem Bala","Ana Vilela",2018-11-13,182546,0,false,,2019-12-12T19:26:06Z,"música popular brasileira,nova música popular brasileira,pop brasileiro","Som Livre/Vidisco",0.596,0.501,11,-8.846,1,0.0261,0.669,0,0.104,0.476,94.224,4
spotify:track:51Fjme0JiitpyXKuyQiCDo,"Lalala","Lalala","Y2K,bbno$",2019-06-28,160626,75,true,,2019-12-12T19:26:06Z,"","Columbia",0.843,0.39,2,-7.899,1,0.0846,0.178,0,0.137,0.495,129.972,4
