Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6H5nPDpKGj9OM8uV35sviQ,"Perto","Perto","Van Zee",2022-11-18,209538,39,true,,1970-01-01T00:00:00Z,"hip-hop português","Van Zee",0.819,0.266,8,-15.6,0,0.524,0.93,0.00108,0.118,0.325,130.049,4
spotify:track:7rbECVPkY5UODxoOUVKZnA,"I Wonder","Graduation","Kanye West",2007-09-11,243440,85,true,,1970-01-01T00:00:00Z,"rap","Roc-A-Fella",0.542,0.466,0,-8.668,1,0.0824,0.141,0.000444,0.125,0.127,191.386,4
spotify:track:3hMijAVnY5k6D4YvzGJw02,"FEHÉR","MDID","ProfJam",2023-05-05,177253,35,false,,1970-01-01T00:00:00Z,"hip-hop português","Mário Cotrim",0.805,0.616,10,-6.353,0,0.118,0.0208,0.0000279,0.0893,0.22,152.039,4
spotify:track:6vnfObZ4Ys70SBAtti1xZ9,"COFFEE BEAN","ASTROWORLD","Travis Scott",2018-08-03,209115,71,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.81,0.582,5,-5.098,0,0.125,0.0862,0.00681,0.207,0.503,95.004,4
spotify:track:3UCqd9sT0C9qDayjFHBQjd,"Visão Noturna","Gorilleyez","Wet Bed Gang",2023-02-21,281767,49,true,,1970-01-01T00:00:00Z,"hip-hop português","Responsablembrace",0.578,0.776,4,-5.536,0,0.259,0.289,0.00000613,0.138,0.306,76.999,4
spotify:track:3DK6m7It6Pw857FcQftMds,"Runaway","My Beautiful Dark Twisted Fantasy","Kanye West,Pusha T",2010-11-22,547733,84,true,,1970-01-01T00:00:00Z,"rap","Roc-A-Fella",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
spotify:track:4aF4vObuyC4fKgPANk7ttG,"Lo-fi","MIXTAKES","ProfJam",2016-03-30,180170,26,true,,1970-01-01T00:00:00Z,"hip-hop português","Mário Cotrim",0.69,0.453,4,-11.307,0,0.661,0.0367,0.000605,0.11,0.404,77.611,4
spotify:track:51EC3I1nQXpec4gDk0mQyP,"90210 (feat. Kacy Hill)","Rodeo","Travis Scott,Kacy Hill",2015-09-04,339066,83,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.402,0.527,9,-6.737,0,0.0917,0.113,0.00000848,0.105,0.31,81.42,4
spotify:track:0vbtURX4qv1l7besfwmnD8,"I Took A Pill In Ibiza - Seeb Remix","At Night Alone.","Mike Posner,Seeb",2016-05-06,197933,85,true,,1970-01-01T00:00:00Z,"","Monster Mountain, LLC / Island",0.664,0.714,7,-6.645,0,0.111,0.0353,0.00000842,0.0843,0.71,101.969,4
spotify:track:2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart Miguel & Mark Ronson)","AT.LONG.LAST.A$AP","A$AP Rocky,Rod Stewart,Miguel,Mark Ronson",2015-05-26,260986,84,true,,1970-01-01T00:00:00Z,"rap,soft rock,r&b","A$AP Worldwide/Polo Grounds Music/RCA Records",0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,4
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,"fukumean","a Gift & a Curse","Gunna",2023-06-16,125040,83,true,,1970-01-01T00:00:00Z,"rap melódico","300 Entertainment",0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4
spotify:track:6wsqVwoiVH2kde4k4KKAFU,"I KNOW ?","UTOPIA","Travis Scott",2023-07-28,211582,84,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack/Epic",0.927,0.619,5,-4.441,0,0.0539,0.0186,0,0.104,0.817,117.995,4
spotify:track:4SzeAxQemtMGRIiQc7gNYq,"Una Palabra","Nubes","Carlos Varela",2000,147720,55,false,,1970-01-01T00:00:00Z,"nueva trova,trova","Universal Music Mexico",0.654,0.0413,6,-16.78,1,0.116,0.896,0,0.0951,0.258,109.167,3
spotify:track:2e3Ea0o24lReQFR4FA7yXH,"Love Yourz","2014 Forest Hills Drive","J. Cole",2014-12-09,211496,78,true,,1970-01-01T00:00:00Z,"rap","Roc Nation Records LLC",0.677,0.638,8,-8.631,1,0.333,0.589,0,0.193,0.435,82.81,4
spotify:track:23luOrEVHMfoX0AhfbQuS6,"FEAR.","DAMN.","Kendrick Lamar",2017-04-14,460573,69,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.588,0.479,1,-7.039,1,0.281,0.604,0.0000072,0.527,0.434,150.414,4
spotify:track:7lpqxqXjVuOQz6LAJLsLFw,"Amar De Cor","Amar De Cor","Van Zee",2023-07-28,165333,43,false,,1970-01-01T00:00:00Z,"hip-hop português","Van Zee",0.713,0.469,4,-6.921,0,0.0461,0.354,0.204,0.0813,0.251,119.913,5
spotify:track:1A6tib5hSqCJAMSBRkNV55,"UH LA LA LA","ANTI$$OCIAL","LON3R JOHNY,Plutonio",2023-04-01,180300,57,true,,1970-01-01T00:00:00Z,"hip-hop português,punta","LON3R JOHNY X Plutonio",0.855,0.551,0,-7.655,1,0.153,0.104,0.192,0.382,0.547,119.979,4
spotify:track:68Dni7IE4VyPkTOH9mRWHr,"No Role Modelz","2014 Forest Hills Drive","J. Cole",2014-12-09,292799,88,true,,1970-01-01T00:00:00Z,"rap","Roc Nation Records LLC",0.69,0.521,10,-8.492,0,0.339,0.324,0,0.0534,0.494,100.028,4
spotify:track:6IZvVAP7VPPnsGX6bvgkqg,"PRIDE.","DAMN.","Kendrick Lamar",2017-04-14,275253,86,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.665,0.535,4,-7.056,0,0.0572,0.0786,0.0000168,0.154,0.37,138.842,4
spotify:track:3OTQIGVkdvqkoGvv1nN545,"DAKAR","MDID","ProfJam",2023-05-05,224653,49,true,,1970-01-01T00:00:00Z,"hip-hop português","Mário Cotrim",0.782,0.58,7,-6.207,0,0.171,0.265,0.00462,0.12,0.387,103.98,4
spotify:track:7dO4sx0Qw8i0RkadAYUHwv,"STAY FLY","A Nave Vai Em Tour","LON3R JOHNY",2021-04-24,234893,50,false,,1970-01-01T00:00:00Z,"hip-hop português,punta","LON3R JOHNY",0.74,0.67,8,-5.175,0,0.12,0.517,0,0.092,0.359,93.948,4
spotify:track:6QadG3APzMMcRVqneB00ZB,"Sangue (Ao Vivo)","Sangue (Ao Vivo)","Sam The Kid,Orelha Negra,ORQUESTRA",2021-03-19,406337,15,true,,1970-01-01T00:00:00Z,"hip-hop português,trip hop","QUARTO MÁGICO",0.349,0.666,5,-8.949,1,0.265,0.202,0,0.747,0.384,80.704,4
spotify:track:0d0jsoba88SpOoFxCxA2rZ,"The Art of Peer Pressure","good kid m.A.A.d city (Deluxe)","Kendrick Lamar",2012,324533,61,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.555,0.611,10,-9.216,0,0.356,0.285,0.00106,0.273,0.409,94.939,4
spotify:track:7fDB2Lxu1Rg3GccMvtl3aB,"Atlantis","Club 120","Alcool Club,Praso,Montana",2014-06-01,226335,43,false,,1970-01-01T00:00:00Z,"hip-hop português","ARTESANACTO",0.539,0.713,7,-5.243,0,0.058,0.615,0.0000012,0.148,0.51,140.689,4
spotify:track:7pKfPomDEeI4TPT6EOYjn9,"Imagine - Remastered 2010","Imagine","John Lennon",1971-09-09,187866,80,false,,1970-01-01T00:00:00Z,"natal","EMI Catalogue",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
spotify:track:1vvnYpYEMVB4aq9I6tHIEB,"4 Your Eyez Only","4 Your Eyez Only","J. Cole",2016-12-09,530253,68,true,,1970-01-01T00:00:00Z,"rap","J. Cole P&D",0.701,0.485,11,-10.305,0,0.364,0.367,0.0000631,0.0852,0.496,78.863,4
spotify:track:5ujh1I7NZH5agbwf7Hp8Hc,"Swimming Pools (Drank) - Extended Version","good kid m.A.A.d city (Deluxe)","Kendrick Lamar",2012,313786,71,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.669,0.485,6,-7.744,0,0.417,0.123,0.0000268,0.604,0.261,74.376,4
spotify:track:4c4c0ZKxKrnW4eCDKD82mB,"ES7ÁDIO","ALK","Lhast,Rafaell Dior,T-Rex",2022-11-25,217715,0,true,,1970-01-01T00:00:00Z,"hip-hop português,punta","LHAST",0.702,0.63,4,-4.761,0,0.148,0.311,0,0.102,0.384,140.058,4
spotify:track:4gh0ZnHzaTMT1sDga7Ek0N,"sdp interlude","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,191622,81,true,,1970-01-01T00:00:00Z,"rap","Cactus Jack / Epic",0.507,0.586,0,-8.15,0,0.0586,0.599,0.0544,0.118,0.588,108.164,4
spotify:track:07AQkmp456NpEnT8HR7WLy,"M4","M4","Teto,Matuê",2021-01-20,170000,72,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,trap funk,hip-hop brasileiro","30PRAUM",0.88,0.59,8,-4.709,0,0.204,0.08,0,0.184,0.723,119.97,4
spotify:track:6PGoSes0D9eUDeeAafB2As,"LOVE. FEAT. ZACARI.","DAMN.","Kendrick Lamar,Zacari",2017-04-14,213400,88,false,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.8,0.585,10,-7.343,1,0.0924,0.264,0,0.153,0.779,126.058,4
spotify:track:5Tl4w6rF8jjqGlSQ0uIuEa,"Pull Up","Pull Up","Van Zee",2022-07-22,154285,37,true,,1970-01-01T00:00:00Z,"hip-hop português","Convés",0.844,0.385,11,-11.821,0,0.226,0.464,0.00128,0.0956,0.508,140.031,4
spotify:track:37OHWelZZiuSZwUzV9Sybv,"HALLYWUD","HALLYWUD","LON3R JOHNY,ProfJam",2022-12-16,181287,43,false,,1970-01-01T00:00:00Z,"hip-hop português,punta","LON3R JOHNY",0.725,0.514,10,-8.051,0,0.332,0.391,0,0.0718,0.331,129.626,4
spotify:track:45VwwcqkVl61khE9JT2OxK,"Baile da Serra","Baile da Serra","Braão,LIT UP,Dj Nattan",2022-04-29,205058,59,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,funk de belo horizonte,funk,funk brasileiro","FERA ENTRETENIMENTO SP",0.801,0.623,7,-7.886,0,0.362,0.496,0,0.0923,0.622,109.797,4
