Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:67UgMiTgtwjGFoiACzup1g,"Magalenha","Magalenha","Joshwa",2023-01-27,174375,60,false,m1gr4,2023-08-05T18:05:59Z,"tech house,house latino,house","Spinnin' Deep",0.779,0.857,4,-7.068,0,0.0706,0.0033,0.515,0.0635,0.284,128.012,4
spotify:track:3BbD2sqk7P7Rc9V0KF9o4s,"My Humps","My Humps","Joshwa,Lee Foss",2021-10-29,186124,64,false,m1gr4,2023-08-05T18:06:58Z,"tech house,house latino,house","Positiva",0.862,0.79,4,-8.412,0,0.0672,0.0418,0.00615,0.0746,0.587,129.005,4
spotify:track:6QNOYe6I5Dt7oHtcIkmYZ5,"Love You Like That","Love You Like That","Cloonee",2021-09-17,175000,1,false,m1gr4,2023-08-16T09:14:46Z,"tech house,house,house latino","CLNE",0.911,0.656,8,-11.725,0,0.0965,0.00814,0.000327,0.114,0.918,124.957,4
spotify:track:3HybwTm4C1n07gqg85f8qt,"Get This Party Started","Get This Party Started","Westend",2021-07-02,160000,6,false,m1gr4,2023-08-16T09:14:47Z,"tech house,house latino,house","Glasgow Underground",0.756,0.748,11,-6.714,0,0.0511,0.000953,0.395,0.0749,0.678,126.076,4
spotify:track:6AdjsFu053x5Lk8pvzltnm,"Stick-Up","Stick-Up","Pimp Chic!",2021-11-19,191428,72,false,m1gr4,2023-08-16T09:14:48Z,"bass brasileiro","Appolo Records",0.819,0.856,10,-5.376,0,0.0486,0.0044,0.858,0.145,0.437,126.04,4
spotify:track:1Pe2tGnJgJWX3vLIVJYSuc,"Cocaina","Cocaina","Mason Talbot",2021-12-17,226771,0,false,m1gr4,2023-08-16T09:14:49Z,"","South Of Saturn",0.817,0.648,0,-8.469,1,0.102,0.0118,0.0656,0.0532,0.7,127.037,4
spotify:track:2axewNoOiyGrtELfrTHv9r,"Locco","Locco","Biscits",2022-01-28,183875,52,false,m1gr4,2023-08-16T09:14:49Z,"tech house,house","Insomniac Records",0.956,0.861,3,-6.779,0,0.206,0.104,0.897,0.0717,0.872,125.93,4
spotify:track:6U7DCvIA93YYzyFYwmiIIe,"Mi Amor","Mi Amor","Cloonee,Wade",2021-06-11,195952,2,false,m1gr4,2023-08-16T09:14:50Z,"tech house,house,house latino,tecno","CLNE",0.824,0.511,8,-9.049,0,0.151,0.0187,0.834,0.309,0.0858,127.959,4
spotify:track:0q6ty9Ga2ebtTKa2C74jrC,"Let Me Take You","Let Me Take You","CID,Westend",2022-05-13,154761,51,false,m1gr4,2023-08-16T09:14:52Z,"tech house,house futurista,house latino,house","Armada Subjekt",0.874,0.908,6,-3.573,0,0.0593,0.00839,0.0891,0.343,0.905,125.981,4
spotify:track:1W6bN5jn4eJvKZVeSaybGo,"Hollaback Girl - Extended Mix","Hollaback Girl","Dot N Life,Flera",2022-03-04,230551,0,true,m1gr4,2023-08-16T09:14:52Z,"tech house,house latino","Glasgow Underground",0.819,0.922,8,-7.145,1,0.121,0.00828,0.147,0.412,0.565,126.996,4
