Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:48xv7MWpMcpagWkgywOpXT,"Fácil","O Dread Que Matou Golias","Holly Hood",2016-06-18,206163,2,false,m1gr4,2020-10-13T19:08:07Z,"hip-hop português","SUPERBAD.",0.603,0.524,4,-7.828,0,0.381,0.725,0.00000174,0.101,0.328,105.966,4
spotify:track:4zww0H1u0yYvyBGixrRCb9,"Mo Boy","Reflexo","Dillaz",2016-05-26,232000,61,false,m1gr4,2020-10-13T19:08:08Z,"hip-hop português,punta","Seventy Five",0.756,0.655,7,-7.034,1,0.397,0.555,0.00000354,0.102,0.389,180.165,4
spotify:track:2Kt7gEMDHpoeDOG7suC2ik,"Copo de Balão","Cria Actividade","Dillaz,SPLIFF",2014-11-14,198826,44,false,m1gr4,2022-01-11T15:54:39Z,"hip-hop português,punta","Seventy Five",0.567,0.526,2,-8.108,1,0.173,0.72,0.00198,0.108,0.0885,122.648,4
spotify:track:0vY0Kn5TJewioo4yUUAJC0,"Vida Boa","The Art of Slowing Down","Slow J",2017-03-17,234313,0,false,m1gr4,2020-10-13T19:08:09Z,"hip-hop português","Slow J",0.581,0.507,5,-8.195,0,0.283,0.0326,0.0000545,0.206,0.565,124.403,4
spotify:track:07VWSUwiJi9S79W60EWYOE,"Poetas De Karaoke","Pratica(Mente)","Sam The Kid,G.Q",2006-12-25,372297,49,false,m1gr4,2020-10-13T19:08:09Z,"hip-hop português","QUARTO MÁGICO",0.724,0.727,8,-6.766,1,0.59,0.358,0,0.677,0.715,93.908,4
spotify:track:2vZgMWEKVt6U8iBR5I51e6,"Nemesis","Nemesis","Holly Hood",2020-05-22,191053,0,false,m1gr4,2022-01-11T15:54:44Z,"hip-hop português","Superbad",0.645,0.63,2,-8.451,1,0.256,0.43,0.000247,0.154,0.0893,76.395,4
spotify:track:1V82iQsyTu8fItKdL8r28O,"Rap Consciente","Rap Consciente","Valete",2017-01-13,267165,40,false,m1gr4,2020-10-13T19:08:10Z,"hip-hop português","Sony Music Entertainment",0.509,0.637,5,-7.068,0,0.358,0.627,0,0.11,0.327,87.62,4
spotify:track:4a0H1kKez7UVLveRL5cEgy,"Vencedor","M.a.D.H.P.","Phoenix Rdc",2019-01-24,260800,0,false,m1gr4,2020-10-13T19:08:11Z,"hip-hop português","PHOENIX RDC",0.496,0.681,0,-5.829,0,0.375,0.849,0,0.206,0.491,87.277,5
spotify:track:1zj5css92Qa4ppHUKkACf9,"Não Fui Sincero","Fora D'Horas","Bispo",2017-06-02,254149,38,false,m1gr4,2020-10-13T19:08:13Z,"hip-hop português","Bispo",0.81,0.451,6,-10.303,0,0.305,0.408,0.0072,0.364,0.0894,120.032,4
spotify:track:4CnIvWObR8ZfVXWTlvYLHN,"Xamã","Xamã","ProfJam",2016-12-20,246857,0,false,m1gr4,2020-10-13T19:08:15Z,"hip-hop português","ProfJam",0.558,0.619,5,-6.91,0,0.0708,0.187,0.000188,0.159,0.383,104.823,4
spotify:track:02xmXW9DWm3fYHjtzG715J,"É Lá na Zona","Tira Teimas","Regula",2005-01-01,169150,32,false,m1gr4,2022-01-11T15:54:54Z,"hip-hop português","Stay Local",0.839,0.484,2,-6.45,1,0.295,0.553,0.00088,0.101,0.425,92,4
spotify:track:3sIXzuNgN9HrC7amkEQWiP,"Salto Alto","Salto Alto","Piruka",2017-10-30,219968,39,false,m1gr4,2020-10-13T19:08:16Z,"hip-hop português","808 Music",0.631,0.516,2,-10.442,0,0.24,0.512,0,0.0692,0.184,94.955,4
spotify:track:2KTw4vRM6mdBzMlVkInvSS,"O Clima","O Clima","Lhast,Dillaz",2017-11-09,237878,32,true,m1gr4,2020-10-13T19:08:18Z,"hip-hop português,punta","Lhast",0.725,0.454,7,-8.566,0,0.0574,0.76,0.0013,0.12,0.306,99.087,4
spotify:track:5J1k6tzN0Ou21H9iYXF32z,"Revelação (feat. Raquel Oliveira)","Serviço Público","Valete,Raquel Oliveira",2006-07-14,360866,33,false,m1gr4,2022-01-11T15:54:59Z,"hip-hop português","Sony Music Entertainment",0.596,0.684,1,-5.882,1,0.263,0.00923,0.0000571,0.106,0.286,89.605,4
spotify:track:3nhBeXdPu1FNJGy3jMSygq,"Fome","Fome","Slow J",2017-09-12,171764,0,false,m1gr4,2020-10-13T19:08:18Z,"hip-hop português","Slow J",0.552,0.452,1,-10.234,1,0.884,0.302,0.000303,0.127,0.121,204.311,3
spotify:track:1PioBX3KlN13IXB014CFF6,"Sendo Assim","Mechelas","Sam The Kid",2018-10-13,314133,53,false,m1gr4,2020-10-13T19:08:19Z,"hip-hop português","QUARTO MÁGICO",0.583,0.748,6,-9.601,0,0.29,0.0571,0,0.192,0.0383,95.764,4
spotify:track:37M00uZSz6smSxZ7pHchuh,"Impec","Deepak Looper","Papillon",2018-03-21,193492,56,false,m1gr4,2020-10-13T19:08:20Z,"hip-hop português","Sente Isto",0.799,0.232,4,-15.807,1,0.0486,0.436,0,0.105,0.692,105.099,4
spotify:track:1giQJIkaBcmEG1j4fkebZ2,"Mortalhas","Mortalhas","ProfJam",2017-06-19,271448,0,false,m1gr4,2020-10-13T19:08:24Z,"hip-hop português","ProfJam",0.703,0.656,11,-7.171,0,0.0696,0.144,0,0.101,0.195,144.937,4
spotify:track:2RbeFAFmpvPiqLaRi1rfKS,"Viver Para Sempre","Rosa Dragão","X-Tense",2018-09-16,298680,25,true,m1gr4,2022-01-11T15:55:10Z,"hip-hop português","rood",0.739,0.556,2,-9.369,1,0.379,0.496,0.00000991,0.316,0.346,96.07,4
spotify:track:4DibtKULHyl4WSmv9B9zOX,"Roleta Russa (feat. Luisa & Camplaix)","Serviço Público","Valete,Luisa,Camplaix",2006-07-14,417080,44,false,m1gr4,2020-10-13T19:08:25Z,"hip-hop português,disco italiano,schlager,schlagerparty,hi-nrg,dança italiana","Sony Music Entertainment",0.779,0.365,9,-7.576,1,0.345,0.284,0,0.578,0.567,81.96,4
spotify:track:75AvbbGV21JDfukB6BTGBi,"Filho da Guida","Filho da Guida","9 Miller",2017-04-18,222000,34,false,m1gr4,2020-10-13T19:08:26Z,"hip-hop português","SUPERBAD.",0.839,0.575,9,-8.915,1,0.321,0.16,0.00000184,0.0972,0.267,139.97,4
spotify:track:4M5PKcWpR8Y6AOmPPbYCrw,"Influencer","Influencer","Bispo,D'ay",2021-01-01,227800,0,false,m1gr4,2022-01-11T15:55:11Z,"hip-hop português","Mentalidade Free Music, Unipessoal, Lda",0.478,0.685,5,-3.68,0,0.235,0.256,0,0.124,0.48,79.474,1
spotify:track:0YtFqZhheQZIrVc0qbqL8D,"Re-tratamento","Re-Definições","Da Weasel",2004-06-11,245693,56,false,m1gr4,2020-10-13T19:08:27Z,"hip-hop português","Parlophone Portugal",0.841,0.475,4,-7.512,1,0.0685,0.0743,0.000506,0.115,0.451,174.963,4
spotify:track:53LuRRfv4dBFVLo8G2TkTu,"As Coisas","Check-In","Valas",2018-06-01,236700,51,false,m1gr4,2020-10-13T19:08:28Z,"hip-hop português","Universal Music Portugal SA",0.622,0.676,2,-5.702,0,0.405,0.0707,0,0.0888,0.666,84.324,4
