Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love Thanks for Sticking Around","Stop Staring At the Shadows","$uicideboy$",2020-02-14,168489,80,true,m1gr4,2024-12-23T11:35:09Z,"emo rap,horrorcore,cloud rap,trap metal,hip-hop underground","G59 Records",0.792,0.511,2,-6.876,1,0.0409,0.124,0.0000904,0.14,0.111,113.983,4
spotify:track:1LaTWJ35Atk7Esoqxdb1WG,"STARS","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,115238,25,true,m1gr4,2024-12-23T11:35:09Z,"rap,trap soul","Ye",0.586,0.572,0,-8.27,0,0.0437,0.271,0.104,0.118,0.29,125.955,4
spotify:track:2y4ZR0BUAVePljHSsZyIgj,"PAID","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,195117,2,true,m1gr4,2024-12-23T11:35:09Z,"rap,trap soul","Ye",0.789,0.688,10,-6.996,0,0.223,0.108,0,0.295,0.445,120.162,4
spotify:track:1eaqMiiUn2P7MnqJK4XeK0,"TALKING","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,185110,2,true,m1gr4,2024-12-23T11:35:09Z,"rap,trap soul","Ye",0.463,0.453,9,-9.572,1,0.16,0.407,0.00000178,0.207,0.334,148.741,4
spotify:track:1icgLGTpX2fQXKRe4D7w2b,"BACK TO ME","VULTURES 1","¥$,Kanye West,Ty Dolla $ign",2024-02-09,295471,5,true,m1gr4,2024-12-23T11:35:09Z,"rap,trap soul","Ye",0.809,0.788,1,-7.217,1,0.0889,0.00108,0,0.0625,0.344,95.637,4
spotify:track:5MGMXOhVvwzCjFgdQsFokR,"SLIDE","VULTURES 2","¥$,Kanye West,Ty Dolla $ign",2024-08-03,197777,62,true,m1gr4,2024-12-23T11:35:09Z,"rap,trap soul","YZY",0.749,0.802,10,-5.78,0,0.0858,0.0258,0,0.118,0.443,107.996,4
spotify:track:1FKHd53eZGxettMrJeAI3d,"Beanie - Slowed","47 (Sped Up and Slowed)","10X",2024-02-27,148344,58,false,m1gr4,2024-12-23T11:35:09Z,"","10X",0.578,0.555,0,-6.661,0,0.0258,0.314,0.305,0.368,0.133,123.858,3
spotify:track:2FoahzOSxJnalPA8aBUme3,"all of me","american dream","21 Savage",2024-01-12,198292,73,true,m1gr4,2024-12-23T11:35:09Z,"","Slaughter Gang, LLC/Epic Records",0.652,0.806,5,-5.707,0,0.302,0.122,0.0000108,0.842,0.779,159.947,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,83,true,m1gr4,2024-12-23T11:35:09Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:2K7sv1mno9PvbXVBpqvSKn,"sneaky","american dream","21 Savage",2024-01-12,201672,69,true,m1gr4,2024-12-23T11:35:09Z,"","Slaughter Gang, LLC/Epic Records",0.742,0.685,9,-7.526,1,0.149,0.000383,0.00428,0.147,0.306,155.037,4
spotify:track:47yD0e9MCRIB8dgUXPfyW3,"pop ur shit","american dream","21 Savage,Young Thug,Metro Boomin",2024-01-12,193320,63,true,m1gr4,2024-12-23T11:35:09Z,"rap,rap melódico,trap","Slaughter Gang, LLC/Epic Records",0.853,0.533,4,-6.647,1,0.126,0.263,0.00406,0.134,0.306,123.066,4
spotify:track:5P1z8XwsCStb74emERTx9v,"letter to my brudda","american dream","21 Savage",2024-01-12,159133,59,true,m1gr4,2024-12-23T11:35:09Z,"","Slaughter Gang, LLC/Epic Records",0.45,0.87,7,-4.224,0,0.309,0.222,0.00000285,0.291,0.588,156.727,4
