Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2N3U8uTYhjX2KwGT0pf5x0,"Everyday (feat. Rod Stewart Miguel & Mark Ronson)","AT.LONG.LAST.A$AP","A$AP Rocky,Rod Stewart,Miguel,Mark Ronson",2015-05-26,260986,84,true,,1970-01-01T00:00:00Z,"rap,soft rock,r&b","A$AP Worldwide/Polo Grounds Music/RCA Records",0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,4
spotify:track:6IZvVAP7VPPnsGX6bvgkqg,"PRIDE.","DAMN.","Kendrick Lamar",2017-04-14,275253,86,true,,1970-01-01T00:00:00Z,"hip-hop,hip-hop da Costa Oeste","Aftermath",0.665,0.535,4,-7.056,0,0.0572,0.0786,0.0000168,0.154,0.37,138.842,4
spotify:track:0FDjc7fIiK29BWH45Ka7Vp,"Deja Vu","Relapse: Refill","Eminem",2009-05-15,283520,60,true,,1970-01-01T00:00:00Z,"rap,hip-hop","Aftermath",0.7,0.873,4,-1.88,0,0.208,0.208,0,0.229,0.571,84.023,4
spotify:track:2fZhdkVFi8YkTGVFdeKnvy,"Retrospectiva De Um Amor Profundo","Pratica(Mente)","Sam The Kid",2006-12-25,474462,45,false,,1970-01-01T00:00:00Z,"hip-hop português","QUARTO MÁGICO",0.773,0.532,2,-7.115,0,0.312,0.733,0,0.122,0.707,95.164,4
spotify:track:4s2BWgnSQ9NZiOQM4PP4HB,"44 Bars","Bobby Tarantino","Logic",2016-07-01,182266,61,true,,1970-01-01T00:00:00Z,"","Def Jam Recordings",0.728,0.628,6,-8.83,0,0.319,0.351,0,0.198,0.313,94.128,4
spotify:track:7fDB2Lxu1Rg3GccMvtl3aB,"Atlantis","Club 120","Alcool Club,Praso,Montana",2014-06-01,226335,43,false,,1970-01-01T00:00:00Z,"hip-hop português","ARTESANACTO",0.539,0.713,7,-5.243,0,0.058,0.615,0.0000012,0.148,0.51,140.689,4
spotify:track:18ohWhzbMCynq5QJ68ifkW,"Criminal","The Marshall Mathers LP","Eminem",2000-05-23,319600,64,true,,1970-01-01T00:00:00Z,"rap,hip-hop","Interscope",0.81,0.724,4,-6.153,0,0.268,0.127,0,0.306,0.573,101.941,4
spotify:track:6n80Ww22fz6nuqWTIEckUU,"Poetas de karaoke","Pratica(mente) [Re-edição]","Sam The Kid",2008-05-05,372297,30,false,,1970-01-01T00:00:00Z,"hip-hop português","Sam The Kid",0.724,0.727,8,-6.766,1,0.59,0.358,0,0.677,0.715,93.908,4
spotify:track:5lLNBIyjp72btcnrjBG751,"t h e . c l i m b . b a c k","The Off-Season","J. Cole",2021-05-14,306257,62,true,,1970-01-01T00:00:00Z,"rap","Dreamville, Inc., Under exclusive license to Roc Nation Records",0.618,0.632,11,-6.973,1,0.346,0.0526,0,0.353,0.319,81.446,4
spotify:track:3yACptyxc2YTovIrvnCtlk,"Respeito","Rap Proibido","Alcool Club",2016-04-12,204486,20,false,,1970-01-01T00:00:00Z,"hip-hop português","ARTESANACTO",0.776,0.744,2,-6.653,1,0.287,0.107,0,0.207,0.791,101.972,4
spotify:track:0NrtwAmRAdLxua31SzHvXr,"Everything I Am","Graduation","Kanye West,DJ Premier",2007-09-11,227893,78,true,,1970-01-01T00:00:00Z,"rap,hip-hop da Costa Leste","Roc-A-Fella",0.631,0.623,8,-6.971,1,0.264,0.466,0.00000161,0.151,0.765,80.23,4
spotify:track:45VwwcqkVl61khE9JT2OxK,"Baile da Serra","Baile da Serra","Braão,LIT UP,Dj Nattan",2022-04-29,205058,59,true,,1970-01-01T00:00:00Z,"trap brasileiro,trap,funk de belo horizonte,funk,funk brasileiro","FERA ENTRETENIMENTO SP",0.801,0.623,7,-7.886,0,0.362,0.496,0,0.0923,0.622,109.797,4
spotify:track:3l6lmZCaZdnc90MI2BktqP,"Lost Ones","Cole World: The Sideline Story","J. Cole",2011-09-27,263720,60,true,,1970-01-01T00:00:00Z,"rap","Roc Nation LLC",0.727,0.781,5,-8.614,1,0.29,0.103,0,0.0537,0.682,81.076,4
