Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1kbFuqqplamhfXK6BgtDgo,"Plugg (Freestyle) - Remix","Plugg (Freestyle) [Remix]","sora9k,eddy0",2020-08-09,148650,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:03:31Z,"hip-hop português","deadbutterflies",0.633,0.463,11,-13.156,0,0.081,0.263,0.000394,0.0719,0.333,154.954,4
spotify:track:6iVygbrSeF4vW4kKUpgVXB,"Sonhos Cor de Rosa","Sonhos Cor de Rosa","eddy0",2020-01-24,135176,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:04:40Z,"hip-hop português","eddy0",0.769,0.42,9,-11.178,1,0.0735,0.386,0.00000127,0.0963,0.341,142.021,4
spotify:track:5kQTtDYx0hlAmtXe5zC2O6,"Baby - Remix LYP2 (feat. Lil Noon)","Minho Trapstar","Chico da Tina,Lil Noon",2019-11-20,199437,0,false,tnsfo196i9v5cliyuhrtoqah2,2023-03-05T22:22:24Z,"hip-hop português,punta","Renascença Portuguesa",0.617,0.524,0,-8.901,1,0.0627,0.204,0.00000947,0.131,0.0903,117.92,4
spotify:track:3eFb2rMiggAp5De4t2StET,"TUPETE","TUPETE","Parreira",2022-12-26,40778,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-12-30T16:16:43Z,"","Parreira",0.737,0.509,2,-11.321,1,0.277,0.428,0.00103,0.0838,0.86,129.755,4
spotify:track:3jO7aPSKEgIx0fgQ9sku8R,"Wavy Plugg","Wavy Plugg","Catarina H,eddy0",2021-02-28,160709,11,true,tnsfo196i9v5cliyuhrtoqah2,2023-02-06T23:07:51Z,"hip-hop português","1803450 Records DK",0.777,0.341,8,-12.27,0,0.103,0.346,0.0000543,0.0943,0.424,133.926,4
spotify:track:2KLy3h4tY3uSzsnlkO2joZ,"linda","lovetape","Chico da Tina,tripsyhell",2021-02-18,107050,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:04:31Z,"hip-hop português,punta","Chico & Tripsy",0.56,0.469,7,-15.056,1,0.0371,0.301,0.000174,0.0935,0.511,139.885,4
spotify:track:4vIwt0hMMUODwrUmiVkUE7,"Chico & Tripsy","lovetape","Chico da Tina,tripsyhell",2021-02-18,132000,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-06-07T12:44:03Z,"hip-hop português,punta","Chico & Tripsy",0.63,0.396,8,-15.234,1,0.0726,0.352,0.00000191,0.204,0.571,134.972,4
spotify:track:0YBrA3xRngR2GjJmjrPDzf,"Eu sei que ela volta","lovetape","Chico da Tina,tripsyhell",2021-02-18,166400,0,false,tnsfo196i9v5cliyuhrtoqah2,2023-01-14T12:20:05Z,"hip-hop português,punta","Chico & Tripsy",0.701,0.545,2,-8.424,1,0.171,0.734,0,0.261,0.757,149.903,4
spotify:track:7gAqNHE464kRBbGja0nFYk,"Princesa dos meus sonhos","lovetape","Chico da Tina,tripsyhell",2021-02-18,182357,0,false,tnsfo196i9v5cliyuhrtoqah2,2023-01-14T12:14:47Z,"hip-hop português,punta","Chico & Tripsy",0.708,0.276,7,-17.898,0,0.0549,0.696,0.000258,0.11,0.364,140.015,4
spotify:track:7vsvviKE0SdYpztS6mvBHL,"O meu drip brilha (feat. Puto Joule)","lovetape","Chico da Tina,tripsyhell,puto joule",2021-02-18,154000,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-07-15T10:15:04Z,"hip-hop português,punta","Chico & Tripsy",0.792,0.509,2,-12.373,1,0.0837,0.113,0,0.0491,0.825,132.001,4
spotify:track:1fx6aWUNjO1oTc6Edyxr89,"Culturista","Culturista","Kenny Berg,Chico da Tina",2020-03-02,129795,23,false,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:04:50Z,"hip-hop português,punta","SOBERGANG",0.619,0.579,11,-7.516,1,0.17,0.728,0.000154,0.114,0.423,169.966,4
spotify:track:1zuTPfkUjizC5U96RwivTb,"VO$$","VO$$","sora9k,tripsyhell",2020-07-08,144200,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:05:00Z,"hip-hop português","deadbutterflies",0.731,0.626,6,-9.1,0,0.0427,0.287,0.00041,0.15,0.309,119.971,4
spotify:track:3NE5QCtZE5VquMVe610LjY,"what she never had","what she never had","sora9k,tripsyhell",2020-06-23,145100,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:07:47Z,"hip-hop português","deadbutterflies",0.745,0.204,0,-21.071,1,0.18,0.374,0.000593,0.0907,0.271,120.934,4
spotify:track:4RWEHDwsEt93S8IEzTnjbR,"Space","Space","Catarina H,sora9k",2020-07-10,156250,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:06:27Z,"hip-hop português","deadbutterflies",0.652,0.6,7,-7.422,0,0.0645,0.558,0.00000984,0.0721,0.159,140.014,4
spotify:track:2idUGfEqygFuafNSsWBGsF,"Convém","Convém","Tixa",2020-03-20,155294,0,false,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:05:04Z,"hip-hop português","Shin Sekai",0.748,0.247,1,-13.73,1,0.049,0.346,0.00322,0.0949,0.137,136.057,4
spotify:track:3kmtctuu0eLHY4Phb3YPri,"Butterflies","Butterflies","Tixa",2021-04-23,140800,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-06-19T12:58:22Z,"hip-hop português","Shin Sekai, Tixa",0.749,0.475,9,-10.243,0,0.259,0.4,0.00953,0.102,0.436,149.963,4
spotify:track:5QUDsjbO0NMHW3zAHTFErP,"Bimba Y Lola","Bimba Y Lola","MC Caixa Dóculos",2022-03-16,160264,0,true,tnsfo196i9v5cliyuhrtoqah2,2022-05-16T22:05:17Z,"hip-hop português","MC Caixa Dóculos",0.744,0.646,6,-9.124,0,0.0818,0.738,0,0.121,0.34,91.825,4
