Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,92,false,m1gr4,2021-04-07T13:50:20Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:2nLtzopw4rPReszdYBJU6h,"Numb","Meteora","Linkin Park",2003-03-25,187520,91,false,m1gr4,2021-04-07T13:50:20Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
spotify:track:18lR4BzEs7e3qzc0KVkTpU,"What I've Done","Minutes to Midnight","Linkin Park",2007-05-14,205226,86,false,m1gr4,2021-04-07T13:50:20Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.627,0.935,5,-4.882,1,0.0324,0.0092,0,0.147,0.287,120.092,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,"One Step Closer","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,157333,86,false,m1gr4,2021-04-07T13:50:49Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:3AJwUDP919kvQ9QcozQPxg,"Yellow","Parachutes","Coldplay",2000-07-10,266773,93,false,m1gr4,2021-04-07T13:53:41Z,"","Parlophone UK",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
spotify:track:75JFxkI2RXiU7L9VXzMkle,"The Scientist","A Rush of Blood to the Head","Coldplay",2002-08-27,309600,91,false,m1gr4,2021-04-07T13:53:41Z,"","Parlophone Records Limited",0.557,0.442,5,-7.224,1,0.0243,0.731,0.0000146,0.11,0.213,146.277,4
spotify:track:6RUKPb4LETWmmr3iAEQktW,"Something Just Like This","Memories...Do Not Open","The Chainsmokers,Coldplay",2017-04-07,247160,91,false,m1gr4,2021-04-07T13:53:41Z,"","Disruptor Records/Columbia",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
spotify:track:4a8pP5X2lxwU5aprY44jLn,"Up&Up","Up&Up","Coldplay",2016-04-22,238093,48,false,m1gr4,2021-04-07T13:54:30Z,"","Parlophone UK",0.534,0.734,7,-5.385,1,0.072,0.124,0.0000245,0.231,0.284,81.944,4
spotify:track:6LFG5WLD8KWSb308OU35q9,"Shiver","Shiver","Coldplay",2000-03-06,304200,42,false,m1gr4,2021-04-07T13:54:30Z,"","Parlophone UK",0.397,0.803,4,-6.186,1,0.0488,0.0334,0,0.0688,0.286,116.707,3
spotify:track:1ExW9geJzAZZH0xzsWvCcw,"Speed of Sound","Speed of Sound","Coldplay",2005-05-23,291546,44,false,m1gr4,2021-04-07T13:54:30Z,"","Parlophone UK",0.52,0.898,11,-6.783,0,0.0553,0.00476,0.0251,0.0731,0.34,123.055,4
